№;Название;Описание;Фото
151;Совок кухонный для льда и сыпучих продуктов из нержавеющей стали, объем 260 мл, размер 24х9 см;;/images/151.png
152;"ТАРЕЛКА 26 СМ 1 ШТ CMIELOW ""РОКОКО /БЕЗ ДЕКОРА""";;/images/152.png
153;Тарелка 36 см овальная фарфор цвет белый, Серия MARIA 111936(ЛОФТ);;/images/153.png
154;Чашка кофейная 80мл., Gastronom, Серия MARIA 311907;;/images/154.png
155;Чашка чайная 190мл., Gastronom, Серия MARIA 321917;;/images/155.png
156;Креманка «Версатиль» стекло 40мл D=60,H=62мм прозр.(ПОД СОРБЕТ);;/images/156.png
157;Сковорода для фахитос «Эмбер Каст Мэтт» чугун,дерево D=160/127,H=47мм черный,тем.дерево;;/images/157.png
158;Чаша-салатник d внешний 18 см, d внутренний 15 см, Slide(кондитерка);;/images/158.png
159;Овальная корзинка для расстойки теста из ротанга L;;/images/159.png
160;"Блюдо с крышкой Patisserie 322мм,
упрочненное стекло /";;/images/160.png
161;Турецкая медная сковорода 22 см;;/images/161.png
162;Стеклянные стаканы для свечей и напитков 250 мл, 9 шт;;/images/162.png
163;"Графин для воды с крышкой 1 л ""Богема"" стеклянный";;/images/163.png
164;Овальная корзина из лозы 500гр (24*14*9,5см);;/images/164.png
